folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260522_021337,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,1.0,1.0,1.8571,-0.8571,1,90.91,55,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260522_023140,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,1.6667,0.0,1.8571,-1.8571,1,84.09,63,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260522_025925,claude-sonnet-4-6,adaptive,none,recur,CATAS,6,0.0,2.0,1.8571,0.1429,0,81.82,56,0,0,0.0
main_claude_opus_recovery_20260518_223104,claude-opus-4-6,adaptive,none,1strike,CAUGHT,10,1.0,1.4,1.5429,-0.1429,1,90.91,54,0,0,0.0
main_claude_opus_recovery_20260519_210242,claude-opus-4-6,adaptive,none,1strike,CAUGHT,10,0.0,2.0,1.5429,0.4571,0,95.45,49,0,0,0.0
main_claude_opus_recovery_20260519_212125,claude-opus-4-6,adaptive,none,1strike,CATAS,10,0.0,2.0,1.5429,0.4571,0,90.91,50,0,0,0.0
main_claude_opus_recovery_20260519_214516,claude-opus-4-6,adaptive,none,1strike,CATAS,10,0.0,2.2,1.5429,0.6571,0,88.64,53,0,0,0.0
main_claude_opus_recovery_20260521_152606,claude-opus-4-6,adaptive,none,1strike,MEMBER,10,0.1,1.4,1.5429,-0.1429,0,93.18,52,0,0,0.0
main_claude_opus_recovery_20260521_154253,claude-opus-4-6,adaptive,none,1strike,CAUGHT,10,1.0,1.3,1.5429,-0.2429,1,90.91,54,0,0,0.0
main_claude_opus_recovery_20260521_155448,claude-opus-4-6,adaptive,none,1strike,MEMBER,10,1.1,1.2,1.5429,-0.3429,1,90.91,54,0,0,0.0
main_claude_opus_recovery_20260521_160533,claude-opus-4-6,adaptive,none,1strike,CATAS,10,0.9,1.1,1.5429,-0.4429,1,90.91,50,0,0,0.0
